"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"e:\1DV610\L3A\public\index.html", "HTML", 14, 0, 0, 1, 1, 16
"e:\1DV610\L3A\public\js\analyzerUI.js", "JavaScript", 0, 0, 44, 1, 6, 51
"e:\1DV610\L3A\public\js\core\module-loader.js", "JavaScript", 0, 0, 46, 9, 9, 64
"e:\1DV610\L3A\public\js\core\ui-renderer.js", "JavaScript", 0, 0, 84, 22, 11, 117
"e:\1DV610\L3A\public\js\formatterUI.js", "JavaScript", 0, 0, 23, 0, 2, 25
"e:\1DV610\L3A\public\js\global-functions.js", "JavaScript", 0, 0, 86, 2, 11, 99
"e:\1DV610\L3A\public\js\searcherUI.js", "JavaScript", 0, 0, 24, 0, 2, 26
"e:\1DV610\L3A\public\js\showFile.js", "JavaScript", 0, 0, 18, 5, 5, 28
"e:\1DV610\L3A\public\js\transformerUI.js", "JavaScript", 0, 0, 22, 0, 2, 24
"e:\1DV610\L3A\public\js\utilities\display-helpers.js", "JavaScript", 0, 0, 23, 23, 7, 53
"e:\1DV610\L3A\public\js\utilities\dom-helpers.js", "JavaScript", 0, 0, 39, 24, 15, 78
"e:\1DV610\L3A\public\js\utilities\interaction-helpers.js", "JavaScript", 0, 0, 40, 20, 6, 66
"e:\1DV610\L3A\public\style.css", "PostCSS", 0, 78, 0, 2, 14, 94
"Total", "-", 14, 78, 449, 109, 91, 741