"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"e:\1DV610\L3A\public\index.html", "HTML", 0, -14, 0, -1, -1, -16
"e:\1DV610\L3A\public\js\analyzerUI.js", "JavaScript", -44, 0, 0, -1, -6, -51
"e:\1DV610\L3A\public\js\core\module-loader.js", "JavaScript", -46, 0, 0, -9, -9, -64
"e:\1DV610\L3A\public\js\core\ui-renderer.js", "JavaScript", -84, 0, 0, -22, -11, -117
"e:\1DV610\L3A\public\js\formatterUI.js", "JavaScript", -23, 0, 0, 0, -2, -25
"e:\1DV610\L3A\public\js\global-functions.js", "JavaScript", -86, 0, 0, -2, -11, -99
"e:\1DV610\L3A\public\js\searcherUI.js", "JavaScript", -24, 0, 0, 0, -2, -26
"e:\1DV610\L3A\public\js\showFile.js", "JavaScript", -18, 0, 0, -5, -5, -28
"e:\1DV610\L3A\public\js\transformerUI.js", "JavaScript", -22, 0, 0, 0, -2, -24
"e:\1DV610\L3A\public\js\utilities\display-helpers.js", "JavaScript", -23, 0, 0, -23, -7, -53
"e:\1DV610\L3A\public\js\utilities\dom-helpers.js", "JavaScript", -39, 0, 0, -24, -15, -78
"e:\1DV610\L3A\public\js\utilities\interaction-helpers.js", "JavaScript", -40, 0, 0, -20, -6, -66
"e:\1DV610\L3A\public\style.css", "PostCSS", 0, 0, -78, -2, -14, -94
"e:\1DV610\L3A\src\app.js", "JavaScript", 27, 0, 0, 3, 8, 38
"e:\1DV610\L3A\src\routes\analyzer.js", "JavaScript", 39, 0, 0, 1, 12, 52
"e:\1DV610\L3A\src\routes\formatter.js", "JavaScript", 60, 0, 0, 1, 18, 79
"e:\1DV610\L3A\src\routes\searcher.js", "JavaScript", 58, 0, 0, 1, 14, 73
"e:\1DV610\L3A\src\routes\transformer.js", "JavaScript", 50, 0, 0, 2, 14, 66
"e:\1DV610\L3A\src\routes\upload.js", "JavaScript", 23, 0, 0, 1, 9, 33
"Total", "-", -192, -14, -78, -100, -16, -400